file_id,speaker_name,speaker_party,speech_text,jaar,date,kamer,category,title,document_number,url,meta_url,vergadernummer,speech_text_chunks,speech_text_translated,fallacy_predictions
h-tk-20222023-26-3,De voorzitter,,"Voor u verdergaat: ik zie dat de heer Beertema nog even wacht, maar ik zie wel de heer Dekker van Forum voor Democratie voor een interruptie.",2022-2023,2022-11-23,tk,handelingen,"3 Begroting Onderwijs, Cultuur en Wetenschap 2023",,https://zoek.officielebekendmakingen.nl/h-tk-20222023-26-3.html,https://zoek.officielebekendmakingen.nl/h-tk-20222023-26-3.xml,"nr. 26, item 3","['Voor u verdergaat : ik zie dat de heer Beertema nog even wacht, maar ik zie wel de heer Dekker van Forum voor Democratie voor een interruptie.']","Before you continue: I see that Mr Beertema is waiting for a while, but I do see Mr. Dekker from Forum for Democracy for interruption.","Before you continue: I see that Mr Beertema is waiting for a while, but I do see Mr. Dekker from Forum for Democracy for interruption. → Beertema → False Cause, Dekker → False Cause, Forum → Slogans, for → Slogans, Democracy → Slogans"
h-tk-20222023-17-9,De heer Nijboer,PvdA,"Dat is precies de reden dat we én het doel in de wet willen hebben én twee amendementen met maatregelen hebben gemaakt, namelijk vanaf 18 jaar pensioen opbouwen en geen ""drempelperiode"" meer, zoals dat in technische termen heet, dus: acht weken de tijd en geen pensioen opbouwen, allemaal contractjes krijgen, geen pensioen opbouwen en uiteindelijk niks overhouden. Dat is precies de reden waarom we die amendementen hebben gemaakt.",2022-2023,2022-11-02,tk,handelingen,9 Wet toekomst pensioenen,,https://zoek.officielebekendmakingen.nl/h-tk-20222023-17-9.html,https://zoek.officielebekendmakingen.nl/h-tk-20222023-17-9.xml,"nr. 17, item 9","['Dat is precies de reden dat we én het doel in de wet willen hebben én twee amendementen met maatregelen hebben gemaakt, namelijk vanaf 18 jaar pensioen opbouwen en geen "" drempelperiode "" meer, zoals dat in technische termen heet, dus : acht weken de tijd en geen pensioen opbouwen, allemaal contractjes krijgen, geen pensioen opbouwen en uiteindelijk niks overhouden. Dat is precies de reden waarom we die amendementen hebben gemaakt.']","That is precisely the reason that we want to have the goal in the law and have made two amendments with measures, namely to build up pension from the age of 18 and no more ""threshold period"", as it is called in technical terms, so: eight weeks and no retirement, all receive contracts, do not build a pension and ultimately nothing left. That is precisely the reason why we made those amendments.",No fallacy detected
h-tk-20222023-23-3,De voorzitter,,"Ik hoorde hier geen specifieke vraag, maar ik geef u wel de gelegenheid, indien gewenst, om erop te reageren.",2022-2023,2022-11-16,tk,handelingen,3 Begroting Defensie 2023,,https://zoek.officielebekendmakingen.nl/h-tk-20222023-23-3.html,https://zoek.officielebekendmakingen.nl/h-tk-20222023-23-3.xml,"nr. 23, item 3","['Ik hoorde hier geen specifieke vraag, maar ik geef u wel de gelegenheid, indien gewenst, om erop te reageren.']","I did not hear a specific question here, but I will give you the opportunity, if desired, to respond to it.",No fallacy detected
h-tk-20222023-79-3,De voorzitter,,"Als het kan, graag iets compacter antwoorden.",2022-2023,2023-05-10,tk,handelingen,3 Tijdelijke wet Transitiefonds landelijk gebied en natuur,,https://zoek.officielebekendmakingen.nl/h-tk-20222023-79-3.html,https://zoek.officielebekendmakingen.nl/h-tk-20222023-79-3.xml,"nr. 79, item 3","['Als het kan, graag iets compacter antwoorden.']","If possible, please answer a little more compact.",No fallacy detected
h-tk-20222023-95-32,Mevrouw Teunissen,PvdD,"Dank voor uw coulance wederom, voorzitter.",2022-2023,2023-06-20,tk,handelingen,32 Het aanvullende klimaatpakket,,https://zoek.officielebekendmakingen.nl/h-tk-20222023-95-32.html,https://zoek.officielebekendmakingen.nl/h-tk-20222023-95-32.xml,"nr. 95, item 32","['Dank voor uw coulance wederom, voorzitter.']","Thanks for your leniency again, chairman.",No fallacy detected
h-tk-20222023-15-11-n1,Minister Kuipers,,"Ja, dat is dan deze. Excuus. De appreciatie van het amendement op stuk nr. 79 over het afschaffen van het eigen risico is ""ontraden"".",2022-2023,2022-10-20,tk,handelingen,"11 Begroting Volksgezondheid, Welzijn en Sport 2023",,https://zoek.officielebekendmakingen.nl/h-tk-20222023-15-11-n1.html,https://zoek.officielebekendmakingen.nl/h-tk-20222023-15-11-n1.xml,"nr. 15, item 11","['Ja, dat is dan deze. Excuus. De appreciatie van het amendement op stuk nr. 79 over het afschaffen van het eigen risico is "" ontraden "".']","Yes, that's this one. Excuse. The appreciation of the amendment to document no. 79 on the abolition of the deductible is ""discouraged"".",No fallacy detected
h-tk-20222023-75-14,De voorzitter,,Ik constateer dat deze motie met algemene stemmen is aangenomen.,2022-2023,2023-04-18,tk,handelingen,"14 Stemmingen moties Update ""Verzorgingsplaats van de Toekomst""",,https://zoek.officielebekendmakingen.nl/h-tk-20222023-75-14.html,https://zoek.officielebekendmakingen.nl/h-tk-20222023-75-14.xml,"nr. 75, item 14",['Ik constateer dat deze motie met algemene stemmen is aangenomen.'],I note that this motion has been adopted unanimously.,No fallacy detected
h-tk-20222023-10-16,De heer Dekker,FVD,Steun.,2022-2023,2022-10-11,tk,handelingen,16 Regeling van werkzaamheden,,https://zoek.officielebekendmakingen.nl/h-tk-20222023-10-16.html,https://zoek.officielebekendmakingen.nl/h-tk-20222023-10-16.xml,"nr. 10, item 16",['Steun.'],Support.,No fallacy detected
h-tk-20222023-22-8,De voorzitter,,"Ik constateer dat de leden van de fracties van de SP, BIJ1, DENK, de PvdD, de PVV en FVD voor deze motie hebben gestemd en de leden van de fracties van GroenLinks, Volt, Fractie Den Haan, de PvdA, D66, Lid Omtzigt, de ChristenUnie, de VVD, de SGP, het CDA, BBB, JA21 en Groep Van Haga ertegen, zodat zij is verworpen.",2022-2023,2022-11-15,tk,handelingen,8 Stemmingen moties Onderdelen Personeel en Materieel van de begroting Defensie 2023,,https://zoek.officielebekendmakingen.nl/h-tk-20222023-22-8.html,https://zoek.officielebekendmakingen.nl/h-tk-20222023-22-8.xml,"nr. 22, item 8","['Ik constateer dat de leden van de fracties van de SP, BIJ1, DENK, de PvdD, de PVV en FVD voor deze motie hebben gestemd en de leden van de fracties van GroenLinks, Volt, Fractie Den Haan, de PvdA, D66, Lid Omtzigt, de ChristenUnie, de VVD, de SGP, het CDA, BBB, JA21 en Groep Van Haga ertegen, zodat zij is verworpen.']","I note that the members of the SP, Bij1, think, the PVD, the PVV and FVD have voted for this motion and the members of the GroenLinks, Volt political groups, the Den Haan, the PvdA, D66, member Omtzigt, the ChristenUnie, the VVD, the SGP, BBBA.","I note that the members of the SP, Bij1, think, the PVD, the PVV and FVD have voted for this motion and the members of the GroenLinks, Volt political groups, the Den Haan, the PvdA, D66, member Omtzigt, the ChristenUnie, the VVD, the SGP, BBBA. → SP → Slogans, Bij1 → Slogans, PVD → Slogans, PVV → Slogans, FVD → Slogans, GroenLinks → Slogans, Volt → Slogans, Den → Slogans, Haan → Slogans, PvdA → Slogans, D66 → Slogans, Omtzigt → Slogans, ChristenUnie → Slogans, VVD → Slogans, SGP → Slogans, BBBA → Slogans"
h-tk-20222023-60-8,De heer Heinen,VVD,"Ik ga even niet mee in deze retoriek, want ik vind dit een heel belangrijk debat en ik wil dat ook echt even op de inhoud voeren. Ik heb nog een andere vraag aan de heer Tony van Dijck. Het is duidelijk: hij wil uit de euro. Nou ken ik de heer Van Dijck als iemand die al zijn plannen heel goed doordenkt. Als we nou uit de euro zijn, wat is dan het wisselkoersbeleid dat de heer Tony van Dijck nastreeft?",2022-2023,2023-03-09,tk,handelingen,8 Toekomst van de euro,,https://zoek.officielebekendmakingen.nl/h-tk-20222023-60-8.html,https://zoek.officielebekendmakingen.nl/h-tk-20222023-60-8.xml,"nr. 60, item 8","['Ik ga even niet mee in deze retoriek, want ik vind dit een heel belangrijk debat en ik wil dat ook echt even op de inhoud voeren. Ik heb nog een andere vraag aan de heer Tony van Dijck. Het is duidelijk : hij wil uit de euro. Nou ken ik de heer Van Dijck als iemand die al zijn plannen heel goed doordenkt. Als we nou uit de euro zijn, wat is dan het wisselkoersbeleid dat de heer Tony van Dijck nastreeft?']","I am not coming in this rhetoric for a moment, because I think this is a very important debate and I really want to do that on the content. I have another question to Mr. Tony Van Dijck. It is clear: he wants from the euro. Well I know Mr Van Dijck as someone who thinks all his plans very well. If we are out of the euro, what is the exchange rate policy that Mr. Tony Van Dijck strives for?","I have another question to Mr. Tony Van Dijck. → Tony → False Cause, Van → False Cause, Dijck → False Cause | Well I know Mr Van Dijck as someone who thinks all his plans very well. → Van → False Cause, Dijck → False Cause | If we are out of the euro, what is the exchange rate policy that Mr. Tony Van Dijck strives for? → Tony → False Cause, Van → False Cause, Dijck → False Cause"
h-tk-20222023-85-7,De heer Van der Lee,GroenLinks,"Dat er wordt vooruitgelopen op een verkoop blijkt op allerlei mogelijke manieren. De regering boekt de opbrengsten zelfs al in in de Voorjaarsnota, terwijl er feitelijk nog niet eens sprake is van een verkoop. Ons is verteld dat de Duitse regering het heel belangrijk vindt om de infrastructuur op het terrein van elektriciteit in handen te krijgen. Wij reageren op berichten in de Duitse media waarin er namens een staatssecretaris plotseling op wordt gezinspeeld dat een deel van de aandelen kunnen worden aangeboden op de markt. De regering gaf vanochtend in antwoord op de Kamervragen die ik samen met de heer Nijboer heb gesteld, toe dat dat ook een nieuw feit is voor de regering. Het staat niet vast dat ze het gaan doen, maar het feit dat er door de regering wordt gezegd dat dit een optie is, is wél nieuw. Dat staat haaks op de berichten die we eerder kregen, namelijk dat de Duitse overheid vastberaden was om een publiek bedrijf in handen te krijgen dat het belangrijkste deel van het Duitse elektriciteitsnet zou beheren.",2022-2023,2023-05-25,tk,handelingen,7 Toekomst van TenneT Duitsland,,https://zoek.officielebekendmakingen.nl/h-tk-20222023-85-7.html,https://zoek.officielebekendmakingen.nl/h-tk-20222023-85-7.xml,"nr. 85, item 7","['Dat er wordt vooruitgelopen op een verkoop blijkt op allerlei mogelijke manieren. De regering boekt de opbrengsten zelfs al in in de Voorjaarsnota, terwijl er feitelijk nog niet eens sprake is van een verkoop. Ons is verteld dat de Duitse regering het heel belangrijk vindt om de infrastructuur op het terrein van elektriciteit in handen te krijgen. Wij reageren op berichten in de Duitse media waarin er namens een staatssecretaris plotseling op wordt gezinspeeld dat een deel van de aandelen kunnen worden aangeboden op de markt. De regering gaf vanochtend in antwoord op de Kamervragen die ik samen met de heer Nijboer heb gesteld, toe dat dat ook een nieuw feit is voor de regering. Het staat niet vast dat ze het gaan doen, maar het feit dat er door de regering wordt gezegd dat dit een optie is, is wél nieuw. Dat staat haaks op de berichten die we eerder kregen, namelijk dat de Duitse overheid vastberaden was om een publiek bedrijf in handen te krijgen dat het belangrijkste deel van het Duitse elektriciteitsnet zou beheren.']","That there is a progress on a sale is apparent in all kinds of ways. The government even records the proceeds in the Spring Memorandum, while there is not even a sale yet. We have been told that the German government finds it very important to get hold of the infrastructure in the field of electricity. We respond to messages in the German media in which on behalf of a State Secretary it is suddenly used that some of the shares can be offered on the market. This morning, in an answer to the parliamentary questions that I put together with Mr Nijboer, the government gave that a new fact for the government. It is not certain that they will do it, but the fact that the government says that this is an option is new. That is at odds with the messages we received earlier, namely that the German government was determined to get a public company in the hands that would manage the most important part of the German electricity grid.","The government even records the proceeds in the Spring Memorandum, while there is not even a sale yet. → Memorandum → Appeal to Authority | We have been told that the German government finds it very important to get hold of the infrastructure in the field of electricity. → German → Appeal to Authority | We respond to messages in the German media in which on behalf of a State Secretary it is suddenly used that some of the shares can be offered on the market. → German → Appeal to Authority | This morning, in an answer to the parliamentary questions that I put together with Mr Nijboer, the government gave that a new fact for the government. → Nijboer → False Cause | That is at odds with the messages we received earlier, namely that the German government was determined to get a public company in the hands that would manage the most important part of the German electricity grid. → German → Appeal to Authority, German → Appeal to Authority"
h-tk-20222023-51-13,De voorzitter,,Er is een vraag van mevrouw Michon.,2022-2023,2023-02-09,tk,handelingen,13 Bericht dat een vrouwelijke Syriëganger het Nederlanderschap terugkrijgt,,https://zoek.officielebekendmakingen.nl/h-tk-20222023-51-13.html,https://zoek.officielebekendmakingen.nl/h-tk-20222023-51-13.xml,"nr. 51, item 13",['Er is een vraag van mevrouw Michon.'],There is a question from Mrs. Michon.,There is a question from Mrs. Michon. → Michon → False Cause
