Label,Speech
No Ad Hominem,"En ik zeg het nog maar eens duidelijk: Ik ben voor vrouwenrechten. Maar ik wil de aandacht van de mensen vestigen op het feit dat dit zogenaamde eenvoudige amendement door ondeugende mannen zou worden gebruikt om discriminaties teniet te doen die volgens de wet toebehoren aan vrouwen met betrekking tot de fysieke verschillen tussen de twee geslachten, arbeidswetten die hen beschermen tegen dingen die fysiek schadelijk voor hen zouden zijn. Deze zouden allemaal door mannen aangevochten kunnen worden."
No Ad Hominem,"Dat is het soort economie dat ik weer wil zien. nodig heeft. Ons land zit diep in de problemen. We weten niet wat we doen als het gaat om devaluaties en al die landen over de hele wereld, vooral China."
No Ad Hominem,"Het Congres is een beetje geïnstitutionaliseerd geraakt. 38 jaar lang heeft één partij het Huis van Afgevaardigden gecontroleerd, met als resultaat een zielig postkantoortje dat niets goed kan doen en een bank die meer roodstand heeft dan alle Chase Bank en Citibank samen. We moeten er iets aan doen."
No Ad Hominem,"Ze hebben gezondheidszorg van slechte - kwaliteit. Onze gezondheidszorg is de afgunst van de wereld omdat we geloven dat de beslissingen worden genomen door artsen en patiënten, niet door ambtenaren in de hoofdstad. De president zei net dat door de overheid gerunde gezondheidszorg resulteert in slechte kwaliteit."
No Ad Hominem,En noem maar op. We moeten erkennen dat dit land op zo'n manier leeft dat we met ons vrije ondernemerschap een alliantie kunnen opbouwen die een beter Amerika kan bouwen voor onze kinderen en kleinkinderen. We kunnen het.
No Ad Hominem,En Mr. Ford heeft er niets aan gedaan. En ik denk dat dit getuigt van een ongevoelige onverschilligheid tegenover de families die zoveel geleden hebben. Hij heeft zijn veto uitgesproken over wetsvoorstellen die door het Congres zijn aangenomen binnen de begrotingsrichtlijnen van het Congres die werkgelegenheid bieden aan twee miljoen Amerikanen.
No Ad Hominem,En in sommige gevallen zijn ze nog steeds op vrije voeten. Maar ik steun de doodstraf in de meest gruwelijke gevallen. Dat doe ik.
No Ad Hominem,"Dit zijn niet-geïdentificeerde mensen en nadat de bom is afgegaan, worden ze opgeblazen omdat het suïcidale individuen zijn die denken dat ze naar het paradijs gaan als ze zo'n daad plegen en daarbij het leven laten. We gaan, zoals ik al zei, proberen de centra te vinden waar deze operaties vandaan komen, en er zullen vergeldingsmaatregelen worden genomen. Maar we gaan niet zomaar wat mensen vermoorden om te zeggen: ""Oh, kijk, we hebben wraak genomen""."
No Ad Hominem,"De bisschop van diezelfde kerk zei dat het een schande was. De generaal die bij hem was zei: ""Het enige wat hij wil is mensen verdelen, geen mensen verenigen."" Dit is een president die alles heeft gebruikt als een hondenfluitje, om te proberen racistische haat en racistische verdeeldheid te zaaien. Dit is een man die, als je het hebt over het helpen van Afro-Amerikanen, één op de 1000 Afro-Amerikanen heeft gedood door het coronavirus."
No Ad Hominem,Maar godzijdank hebben we altijd genoeg mensen gehad die in elke generatie bereid waren om de angst voor een gebroken hart te overwinnen en diep betrokken te raken bij de vorming van een perfectere unie. Wij zijn Amerika en we geloven in onze toekomst en we weten dat we de mogelijkheid hebben om onze toekomst vorm te geven. Nu moeten we een van de grootste bedreigingen voor onze democratie aanpakken.
No Ad Hominem,"Met andere woorden, we moeten hard zijn. Maar om deze wapengekte te stoppen, moeten we doorgaan met harde onderhandelingen die verifieerbaar zijn, zodat we weten dat de Sovjets akkoord gaan en hun akkoord nakomen. Steun voor de VS"
No Ad Hominem,"Het betekent dat de Amerikaanse koper vandaag een betere koop krijgt omdat de inflatie minder is. Met alle respect voor president Ford, ik denk dat hij zich zou moeten schamen om die uitspraak te doen, omdat we nu de hoogste werkloosheid hebben dan ooit tussen de Grote Depressie veroorzaakt door Herbert Hoover en het moment dat president Ford aantrad. We hebben zeven en een half miljoen werklozen."
No Ad Hominem,"Er zijn allerlei manieren om banen te creëren in de binnenstad. Ik ben geen politicus, maar ik denk dat ik binnen een week naar Washington kan gaan en iedereen bij elkaar kan krijgen om deze wet getekend te krijgen, want ik praat met de Democratische leiders en zij willen het. Ik praat met de Republikeinse leiders en zij willen het. Maar omdat ze van jongs af aan zijn opgevoed om met elkaar te vechten in plaats van resultaten te boeken, zou ik graag stoppen en wat tijd spenderen om te kijken of we niet wat bruggen kunnen bouwen."
No Ad Hominem,Dat is niet wat ik denk. Ik denk dat het het geld is van de hardwerkende mensen van Amerika en ik wil wat van dat geld met jullie delen zodat jullie meer geld hebben om te bouwen en te sparen en te dromen voor jullie gezinnen. Het is een verschil van mening.
No Ad Hominem,"Ik denk dat de middelen die ik voorsta dat doel beter zullen bereiken dan de middelen die hij voorstaat. Ik zou betere voorbeelden kunnen geven, maar voor - voor wat het ook is, of het nu op het gebied van huisvesting is, of gezondheid, of medische zorg, of scholen, of de eh- ontwikkeling van elektrische energie, we hebben programma's waarvan we geloven dat ze Amerika vooruit zullen helpen en voort zullen bouwen op de prachtige staat van dienst die we de afgelopen zeven en een half jaar hebben opgebouwd. Als we naar deze programma's kijken, zou ik willen voorstellen dat we bij de evaluatie vaak de neiging hebben om te zeggen dat de test van een programma is hoeveel je uitgeeft."
No Ad Hominem,"Ik denk dat het de houding is. Ik denk dat er een cynisme heerst in Washington en dat hoeft niet zo te zijn. Voordat ik besloot om me verkiesbaar te stellen, moest ik twee zaken in mijn hoofd oplossen."
No Ad Hominem,"Want dit is de stimulans voor bedrijven om op zoek te gaan naar olie, om het te ontwikkelen. Als we geen uitputtingstoeslag hadden van zeker, geloof ik, het huidige bedrag, zou onze olie-exploratie in dit land aanzienlijk afnemen. Wat mijn standpunt betreft, dat is precies het tegenovergestelde van dat van de senator."
No Ad Hominem,"Geen enkele natie zal ooit een veto over ons hebben. Maar ik denk dat het logisch is, ik denk dat de meeste Amerikanen in hun hart weten, dat we een soort waarheidsnorm moeten hanteren. Zo krijg je legitimiteit bij je eigen landgenoten en zo krijg je legitimiteit in de wereld."
No Ad Hominem,En je hebt helemaal gelijk. Mensen zijn het zat. Ze hebben genoeg van het gekibbel en de partijdigheid die het debat in de hoofdstad lijken te kenmerken. Ik heb het echter anders gezien.
No Ad Hominem,"Je kunt geen supermacht zijn als je geen economische supermacht bent. Als we geen economische supermacht zijn, zijn we een voormalige supermacht en zullen we niet langer een kracht ten goede zijn in de wereld. En als niets anders je enthousiast maakt over het herbouwen van onze industriële basis, dan is dat het misschien wel, want taak één is om onze mensen weer aan het werk te krijgen."
No Ad Hominem,"Maar één ding zou ik willen zeggen met betrekking tot diplomatie: Israël moet zich over één ding absoluut zeker voelen. Onze banden met Israël zijn groter dan overeenkomsten of meningsverschillen over enkele details van diplomatieke initiatieven. Ze zijn historisch, ze zijn sterk en ze zijn duurzaam."
No Ad Hominem,"Waar gaan bedrijven naartoe waar ze banen kunnen creëren en waar ze het beste zaken kunnen doen? We moeten het belastingtarief voor bedrijven in Amerika verlagen. We moeten het bedrijfsleven stimuleren. Juist nu moeten we in Amerika de belastingen voor mensen verlagen. We moeten het bedrijfsleven stimuleren, banen creëren en niet de rijkdom rondstrooien."
No Ad Hominem,"We willen elektronische medische dossiers om fouten te voorkomen en de kosten te verlagen. Mensen vertellen me dat wanneer de gezondheidszorg volledig geïntegreerd is met informatietechnologie, dit zo'n 20 procent van de kosten uit het systeem zal halen. En tot slot, generieke medicijnen sneller op de markt brengen."
No Ad Hominem,We weten dat hij nog steeds in Bagdad is. Hij is verantwoordelijk voor de meeste grote autobomaanslagen waarbij duizenden mensen zijn gedood of verminkt. Hij is degene die je op het avondnieuws gijzelaars ziet onthoofden.
No Ad Hominem,"Wat Indochina betreft, heb ik keer op keer gezegd dat het in die periode essentieel was dat de Verenigde Staten duidelijk maakten dat we niet zouden tolereren dat Indochina onder communistische overheersing zou komen. Als gevolg van onze krachtige stellingname werd de burgeroorlog daar beëindigd en vandaag de dag zijn de communisten in ieder geval in het zuiden van Indochina vertrokken en hebben we daar een sterk, vrij bastion. Wat de U-2 vluchten betreft, wil ik erop wijzen dat ik het standpunt van de president altijd heb gesteund."
Ad Hominem,"Mag ik hier even op reageren? Hillary Clinton, als het gaat om mensen die ons land binnenkomen, hebben we veel criminele illegale vreemdelingen. Als we ze terug willen sturen naar hun land, zegt hun land dat we ze niet willen."
Ad Hominem,"2 miljoen vrouwen die hun gezin proberen op te voeden nog eens $3.800 per jaar zouden verdienen. De president heeft 9,2 miljoen vrouwen $3.800 per jaar onthouden, maar hij aarzelt niet om te vechten voor $136.000 voor een miljonair. Eén procent van Amerika kreeg vorig jaar 89 miljard dollar belastingverlaging, maar mensen die hard werken, zich aan de regels houden, voor hun kinderen proberen te zorgen, familiewaarden, waar we zoveel waarde aan zouden moeten hechten in Amerika -- ik word moe van politici die praten over familiewaarden en geen waarde hechten aan gezinnen."
Ad Hominem,"Hij kan zichzelf opsluiten. Ik weet het niet, hij heeft duidelijk ergens veel geld verdiend, maar hij heeft iets met in een kelder wonen. Mensen kunnen dat niet."
Ad Hominem,"En dat heeft hij gedaan. Als de politiek verandert, veranderen zijn standpunten. En dat is niet hoe een opperbevelhebber handelt."
Ad Hominem,Ik ben de enige op dit podium die profit-scholen heeft vervolgd voor het profiteren van onze veteranen. En de realiteit is dat we het hebben over een verkiezing over 27 dagen waar vorige week de president van de Verenigde Staten een debat podium betrad voor 70 miljoen Amerikanen en weigerde om blanke supremacisten te veroordelen. En -niet waar.- het was niet alsof hij geen kans had.
Ad Hominem,"En we kunnen het weer doen, als we de politiek erbuiten houden. Stop met het bang maken van de senioren, Mr. President. U heeft al 45 miljoen dollar uitgegeven om senioren bang te maken en mij te verscheuren. Ik denk dat het tijd is voor een wapenstilstand. Laat ik eerst zeggen dat ik graag een commissie zou hebben die zich hiermee bezighoudt en ik waardeer wat senator Dole deed in de '83 commissie voor sociale zekerheid."
Ad Hominem,"Niet veel. Ik sta hier tegenover je, oude vriend. Als Pocahontas twee dagen eerder was vertrokken, had je elke voorverkiezing verloren."
Ad Hominem,"Hij is de president een verontschuldiging schuldig, hij is ons land een verontschuldiging schuldig en hij moet verantwoordelijkheid nemen voor zijn daden en zijn woorden. Nou, je bent de president een verontschuldiging schuldig, want zoals je heel goed weet, is jouw campagne, Sidney Blumenthal - hij is nog een echte winnaar die je hebt - degene die dit in gang heeft gezet, samen met je campagnemanager, en ze waren nog maar twee weken geleden op televisie, zij, en zeiden precies dat. Dus je bent hem echt een verontschuldiging schuldig. Jij bent degene die de foto's rondstuurde in je campagne, de foto's rondstuurde met president Obama in een bepaald gewaad."
Ad Hominem,"Wat betekent dit in het echte leven? Nou, onlangs maakte vicepresident Bush zijn belastingaangifte bekend aan het Amerikaanse volk. Hij is een van de rijkste Amerikanen en hij is onze vicepresident. Ik denk dat hij in 1981 ongeveer 40% belasting betaalde. In 1983 betaalde hij als gevolg van deze belastingvoordelen iets meer dan 12 procent, 12,8 procent aan belastingen. Dat betekent dat hij minder belasting betaalde dan de conciërge die zijn kantoor schoonmaakt of de chauffeur die hem naar zijn werk brengt. Ik denk dat we wat eerlijkheid nodig hebben."
Ad Hominem,"Zet het op de website. Feit is dat hij liegt. Ik sluit het verbieden van fracking wel uit, omdat het antwoord dat we nodig hebben - we hebben andere industrieën nodig om over te stappen naar, uiteindelijk, een volledige nuluitstoot in 2025."
Ad Hominem,"We hadden de ergste financiële crisis, de Grote Recessie, de ergste sinds de jaren 1930. storm. Donald was zelfs een van de mensen die de huizencrisis steunde. Hij zei in 2006: ""Goh, ik hoop dat het instort, want dan kan ik wat kopen en geld verdienen."""
Ad Hominem,Hij is zelfs twee keer aangeklaagd door Justitie. Hij heeft dus een lange staat van dienst wat betreft racistisch gedrag. En de birther-leugen was een zeer kwetsende leugen.
Ad Hominem,"Het zijn moordenaars en een aantal zeer slechte mensen. En ik kan u met klem zeggen dat toen Bernie Sanders zei dat ze een slecht beoordelingsvermogen had, ze ook echt een slecht beoordelingsvermogen had, want we laten mensen dit land binnen die problemen en misdaad zullen veroorzaken zoals u nog nooit hebt gezien. We laten ook drugs door onze zuidelijke grens stromen in een record tempo."
Ad Hominem,"Naar mijn mening heeft het beleid gefaald. Dus het Congres neemt de wet aan, de president ondertekent hem, zoals hij dat met veel dingen doet. Maar hij, zoals de welzijnshervorming, ik ga het ondertekenen maar ik ga proberen het volgend jaar te veranderen. Veel van deze verkiezingen - jaar omzettingen, de president praat over het drugsgeld, en alle andere dingen, al deze antirookcampagne gebeurde allemaal in 1996."
Ad Hominem,"(APPLAUS) Maar ik ben het toevallig - met één ding - eens met senator Gore, en dat is dat we naar de toekomst moeten kijken, en de toekomst is: wie wordt de volgende president van de VS? En is het een negatieve aanval en een persoonlijke aanval om erop te wijzen dat Bill Clinton gewoon moeite heeft om de waarheid te vertellen? Hij zei dat hij niet eens demonstreerde -- hij vertelde het de mensen in Arkansas in 1978."
Ad Hominem,"In feite zou het de meest extreme versie zijn, de grootste belastingverlaging voor de hoogste procenten van de mensen in dit land dan we ooit hebben gehad. Ik noem het trumped up trickle down, want dat is precies wat het zou zijn. Dat is niet hoe we de economie laten groeien."
Ad Hominem,"Je hebt drie en een half miljoen dollar verdiend, Joe, en je zoon heeft je dat gegeven. Ze hebben zelfs een verklaring dat we 10% aan de grote man moeten geven. Jij bent de grote man, denk ik."
Ad Hominem,"Sommige mensen doen hun werk niet goed. Nou, hier is de... Nou, het is moeilijk om iets te zeggen met deze clown. Pardon, deze persoon."
Ad Hominem,"We moeten wel, omdat we daar troepen hebben en omdat ze een toevluchtsoord voor terroristen hebben gecreëerd. Uw retoriek, senator, zou een stuk geloofwaardiger zijn als er een verslag was om het te ondersteunen. Dat is er niet."
Ad Hominem,"En als Irak vrij is, zal Amerika veiliger zijn. De president sprak net over Irak als een centrum van de oorlog tegen het terrorisme. Irak was niet eens in de buurt van het centrum van de oorlog tegen het terrorisme voordat de president het binnenviel. De president nam het besluit om troepen onder leiding van generaal Tommy Franks uit Afghanistan weg te halen nog voordat het Congres het had goedgekeurd om zich voor te bereiden op de oorlog in Irak."
Ad Hominem,"En vandaag zijn wij verantwoordelijk voor 90 procent van de slachtoffers en 90 procent van de kosten. En ondertussen heeft Noord-Korea kernwapens. Over gemengde boodschappen gesproken. De president is degene die zei: ""We kunnen niet toestaan dat landen kernwapens krijgen."" Dat hebben ze gedaan."
Ad Hominem,"En hij bezuinigde 60 miljard dollar extra op defensie, waardoor veel mensen werkloos werden. Hij heeft het over een kleinere overheid. Er zijn eigenlijk meer mensen in de regering behalve mensen in defensiegerelateerde banen. Die zijn weg. De overheid is groter dan toen president Kennedy er nog was, ook al zegt hij van niet. Daarnaast heeft het Republikeinse Congres 53 miljard dollar bezuinigd."
Ad Hominem,"En toen ze zei onherstelbaar, ze zijn onherstelbaar, dat zei je niet, maar toen ze zei dat ze onherstelbaar zijn, was dat voor mij misschien nog wel erger. Ze heeft een enorme haat. En dit land kan niet nog eens vier jaar Barack Obama aan, en dat is wat je met haar krijgt."
Ad Hominem,"En we moeten vroeg beginnen, in de eerste, tweede en derde klas, voordat onze jongeren beginnen te experimenteren met deze zeer, zeer gevaarlijke stoffen. Ik denk dat de vraag die ik zou willen stellen aan Mr. Bush is hoe we deze waarden kunnen bijbrengen, hoe we deze omgeving kunnen creëren voor de drugsvrije scholen die we willen in dit land. Als hij of vertegenwoordigers van de regering mensen als Noriega betrekken bij ons buitenlands beleid, of die connectie niet nastreven op een manier die het voor ons mogelijk maakt om er een eind aan te maken en een voorbeeld te zijn voor onze kinderen in het hele land. Welnu, onlangs kreeg mijn tegenstander een briefing van de CIA."
Ad Hominem,"Als je kijkt naar Bill Clinton, veel erger. De mijne zijn woorden en de zijne waren daden. Wat hij vrouwen heeft aangedaan. Er is nog nooit iemand geweest in de geschiedenis van de politiek in dit land die zo grof is geweest tegen vrouwen. Dus je kunt zeggen wat je wilt, maar Bill Clinton heeft vrouwen mishandeld."
Ad Hominem,"Ik heb bewezen dat ik een redelijke hervorming van de onrechtmatige daad zal ondertekenen. Ten tweede, senator Dole had een aantal harde opmerkingen over geld van speciale belangen, maar ik was het niet die tegenwerkte wat we probeerden te doen om de levens van kinderen te redden die aan tabak leden en vervolgens naar de tabakstelers ging en opschepte over het opkomen voor de federale overheid toen we de reclame, marketing en verkoop van tabak aan kinderen probeerden te stoppen. En ik was het niet die de vervuilers naar de zalen van het Congres liet komen om de milieuwetten te herschrijven. Dat hebben Speaker Gingrich en Senator Dole gedaan, niet ik. Dat is niet waar."
Ad Hominem,"Dus ja, dit is wie Donald Trump is. Maar het zijn niet alleen vrouwen en het is niet alleen deze video die vragen oproept over zijn geschiktheid om onze president te zijn, want hij heeft het ook gemunt op immigranten, Afro-Amerikanen, Latino's, mensen met een handicap, krijgsgevangenen, moslims en zo veel anderen. Dus dit is wie Donald Trump is."
Ad Hominem,Want dit hebben we de hele campagne gezien. We hebben hem vrouwen zien beledigen. We hebben gezien hoe hij vrouwen beoordeelde op hun uiterlijk en ze rangschikte van één tot tien.
Ad Hominem,"We hebben geleerd en bestudeerd en begrijpen de ziekte, wat we in het begin niet deden. Toen ik China sloot en verbood om zwaar geïnfecteerd binnen te komen, en daarna uiteindelijk Europa, maar China was in januari - maanden later zei hij dat ik xenofoob was, dat ik het te snel had gedaan. Nu zegt hij: ""Oh, ik had, weet je, sneller moeten handelen. Maar hij ging niet sneller; hij liep maanden achter me, vele maanden achter me."
Ad Hominem,"Negenennegentig Amerikaanse senatoren stemden voor. En de president heeft het erg druk met door het land rennen en wat ik net beschreef te gebruiken als een reden om te zeggen dat ik wishy - washy ben, dat ik een flip - flopper ben. Dat is geen slippertje."
Ad Hominem,Stand-by. En dit is onderdeel van een patroon van Donald Trump. Hij noemde Mexicanen verkrachters en criminelen. Hij stelde als eerste daad een moslimverbod in.
Ad Hominem,"Het is een van de redenen waarom we een drugsvoorlichtings- en preventieprogramma hebben dat jongeren in onze hele staat helpt, iets wat ik ook wil doen als president van de Verenigde Staten. Weet je, de vice-president zegt dat hij de doodstraf wil opleggen aan drugshandelaren, en toch heeft zijn regering een federaal verlofprogramma dat een van de meest toegeeflijke in het land is, dat vorig jaar 7000 verlofdagen gaf aan drugshandelaren en drugspushers, dezelfde mensen die hij nu zegt te willen executeren. De abortuskwestie is een erg moeilijke kwestie, één waar we volgens mij allemaal mee moeten worstelen, waar we mee in het reine moeten komen."
Ad Hominem,"We zullen Medicare altijd beschermen binnen de context van een evenwichtig begrotingsplan. Mensen, ze hebben geen plan. Ze hebben absoluut geen plan. De president suggereerde zelf dat de reductie in de groei van Medicare in de komende vijf of zes jaar beperkt zou moeten worden tot 6 procent onder het Republikeinse plan, ongeacht de cijfers, het zal groeien met 7 of zelfs meer procent, maar dat is naast de kwestie."
